"employeeID";"firstName";"lastName";"department";"initSecClearance";"primaryBranchID";"DateOfBirth"
"100000029";"Juan";"Pollard";"Risk Management";"Unclassified";100;"1966-12-31"
"100000030";"Sharon";"Gallagher";"Accounting";"Unclassified";100;"1989-03-05"
"100000031";"Patrick";"Larsen";"Human Resources";"Secret";100;"1996-06-12"
"100000032";"Christian";"Jackson";"Information Technology";"Unclassified";100;"2000-03-15"
"100000033";"Travis";"White";"Marketing";"Restricted";102;"1975-06-25"
"100000034";"Carrie";"Lee";"Investment Banking";"Restricted";101;"1997-02-07"
"100000035";"Jose";"Galloway";"Human Resources";"Restricted";102;"1991-05-23"
"100000036";"Rita";"Hicks";"Accounting";"Top Secret";101;"1983-02-25"
"100000037";"Jesse";"Henry";"Customer Service";"Secret";102;"1961-09-12"
"100000038";"Kim";"West";"Risk Management";"Secret";101;"2002-04-13"
"100000039";"Logan";"Fisher";"Information Technology";"Unclassified";102;"1992-01-20"
"100000040";"Darlene";"Perkins";"Customer Service";"Top Secret";100;"1990-11-29"
"100000041";"Patricia";"Melton";"Marketing";"Top Secret";101;"1973-07-22"
"100000042";"Christopher";"Brown";"Customer Service";"Unclassified";102;"1978-06-06"
"100000043";"Amy";"Sandoval";"Customer Service";"Restricted";101;"1981-02-05"
"100000044";"Edward";"Gonzalez";"Mortgage Services";"Top Secret";102;"1968-06-14"
"100000045";"Richard";"Anderson";"Risk Management";"Unclassified";102;"1994-01-10"
"100000046";"Jeffery";"Morris";"Loan Processing";"Confidential";101;"1967-11-25"
"100000047";"Heidi";"Simmons";"Mortgage Services";"Unclassified";100;"1963-11-03"
"100000048";"Rebecca";"Roberts";"Information Technology";"Secret";101;"2000-05-10"
"100000049";"Cassidy";"Clark";"Human Resources";"Confidential";101;"1992-06-04"
"100000050";"Amy";"Marsh";"Investment Banking";"Confidential";101;"1982-12-16"
"100000051";"Terry";"Kelley";"Information Technology";"Unclassified";102;"1961-12-09"
"100000052";"Roger";"Haynes";"Mortgage Services";"Secret";101;"1991-05-12"
"100000053";"Eric";"Miller";"Mortgage Services";"Confidential";101;"1988-05-05"
"100000054";"Chad";"Arias";"Risk Management";"Confidential";102;"1963-10-23"
"100000055";"Lisa";"Simon";"Marketing";"Confidential";100;"1973-09-22"
"100000056";"Debra";"Ortiz";"Accounting";"Unclassified";100;"2001-02-16"
"100000057";"Patricia";"King";"Loan Processing";"Secret";101;"1966-05-08"
"100000058";"Angel";"Estes";"Risk Management";"Restricted";102;"2002-08-29"
"100000059";"William";"Morales";"Marketing";"Restricted";101;"1990-11-03"
"100000060";"Derrick";"Anderson";"Loan Processing";"Unclassified";102;"1976-03-19"
"100000061";"Micheal";"Clark";"Customer Service";"Secret";101;"1981-04-07"
"100000062";"Stephanie";"Smith";"Marketing";"Secret";101;"1980-06-14"
"100000063";"Francisco";"Ballard";"Customer Service";"Secret";102;"1986-08-05"
"100000064";"Cheryl";"Cooper";"Human Resources";"Restricted";100;"1987-12-07"
"100000065";"Steven";"Evans";"Mortgage Services";"Restricted";101;"1987-01-18"
"100000066";"James";"Ellis";"Risk Management";"Secret";102;"1973-05-24"
"100000067";"Alfred";"Evans";"Risk Management";"Secret";100;"1986-10-27"
"100000068";"Brett";"Russell";"Human Resources";"Confidential";101;"1974-01-26"
"100000069";"Brenda";"Miller";"Human Resources";"Unclassified";101;"1980-07-06"
"100000070";"Angela";"Knight";"Accounting";"Secret";100;"2004-03-05"
"100000071";"Darrell";"Ford";"Risk Management";"Restricted";100;"1991-08-09"
"100000072";"Sarah";"Thompson";"Risk Management";"Top Secret";102;"2001-10-05"
"100000073";"Danielle";"Myers";"Investment Banking";"Secret";101;"1980-07-31"
"100000074";"Brian";"Macias";"Information Technology";"Confidential";101;"1995-07-15"
"100000075";"Carlos";"Hernandez";"Human Resources";"Restricted";102;"1960-01-31"
"100000076";"Charles";"Hunter";"Loan Processing";"Confidential";101;"1994-12-20"
"100000077";"Maria";"Horne";"Customer Service";"Restricted";102;"1998-12-15"
"100000078";"Dana";"Newman";"Investment Banking";"Top Secret";101;"2001-10-07"
"100000079";"Janet";"Potter";"Loan Processing";"Restricted";102;"1965-09-14"
"100000080";"Brittany";"Campbell";"Investment Banking";"Secret";102;"1980-05-29"
"100000081";"Joshua";"Gomez";"Accounting";"Restricted";102;"1976-09-09"
"100000082";"Robert";"Bennett";"Customer Service";"Confidential";100;"1983-09-15"
"100000083";"Brett";"Harris";"Risk Management";"Confidential";102;"1998-03-25"
"100000084";"Steve";"Hale";"Information Technology";"Top Secret";102;"1999-05-19"
"100000085";"Carrie";"Brown";"Investment Banking";"Unclassified";100;"2000-10-27"
"100000086";"Stephanie";"Miller";"Loan Processing";"Top Secret";102;"1997-07-22"
"100000087";"Daniel";"Meyer";"Accounting";"Confidential";101;"1972-10-30"
"100000088";"Tammy";"Campbell";"Risk Management";"Confidential";102;"1969-07-15"
"100000089";"Sarah";"Wilson";"Customer Service";"Secret";100;"2001-05-14"
"100000090";"Jennifer";"Hall";"Marketing";"Unclassified";100;"1988-04-13"
"100000091";"Rachel";"Montoya";"Risk Management";"Top Secret";102;"2003-01-29"
"100000092";"Adriana";"Johnson";"Mortgage Services";"Restricted";100;"1961-02-07"
"100000093";"Justin";"Walter";"Customer Service";"Unclassified";102;"2002-03-08"
"100000094";"Ann";"Pham";"Accounting";"Confidential";102;"1983-01-18"
"100000095";"Amy";"Anderson";"Risk Management";"Confidential";102;"1960-06-03"
"100000096";"Jessica";"Crawford";"Marketing";"Unclassified";101;"1976-10-16"
"100000097";"Grace";"Brown";"Information Technology";"Secret";101;"1982-07-23"
"100000098";"Diana";"Bradley";"Loan Processing";"Secret";102;"1966-08-04"
"100000099";"Paul";"Salas";"Risk Management";"Top Secret";102;"1972-03-06"
